 Timecode, m      
11/05/2023 16:07,5.261.377
11/05/2023 16:07,5.224.412
11/05/2023 16:07,5.239.816
11/05/2023 16:07,5.269.076
11/05/2023 16:07,5.362.949
11/05/2023 16:07,5.456.728
11/05/2023 16:07,5.447.508
11/05/2023 16:07,5.416.768
11/05/2023 16:07,5.386.018
11/05/2023 16:07,5.284.471
11/05/2023 16:07,5.209.005
11/05/2023 16:07,5.213.628
11/05/2023 16:07,5.249.057
11/05/2023 16:07,5.375.253
11/05/2023 16:07,5.396.782
11/05/2023 16:07,5.329.104
11/05/2023 16:07,5.309.099
11/05/2023 16:07,5.332.182
11/05/2023 16:07,5.349.105
11/05/2023 16:07,5.281.392
11/05/2023 16:07,5.218.250
11/05/2023 16:07,5.296.786
11/05/2023 16:07,5.425.991
11/05/2023 16:07,5.465.947
11/05/2023 16:07,5.425.991
11/05/2023 16:07,5.452.118
11/05/2023 16:07,5.375.253
11/05/2023 16:07,5.255.217
11/05/2023 16:07,5.304.482
11/05/2023 16:07,5.382.943
11/05/2023 16:07,5.441.360
11/05/2023 16:07,5.485.918
11/05/2023 16:07,5.429.065
11/05/2023 16:07,5.346.028
11/05/2023 16:07,5.276.774
11/05/2023 16:07,5.238.276
11/05/2023 16:07,5.330.643
11/05/2023 16:08,5.373.716
11/05/2023 16:08,5.336.798
11/05/2023 16:08,5.395.244
11/05/2023 16:08,5.399.857
11/05/2023 16:08,5.301.404
11/05/2023 16:08,5.276.774
11/05/2023 16:08,5.336.798
11/05/2023 16:08,5.379.867
11/05/2023 16:08,5.309.099
11/05/2023 16:08,5.272.155
11/05/2023 16:08,5.295.247
11/05/2023 16:08,5.306.021
11/05/2023 16:08,5.346.028
11/05/2023 16:08,5.367.564
11/05/2023 16:08,5.327.566
11/05/2023 16:08,5.372.178
11/05/2023 16:08,5.359.873
11/05/2023 16:08,5.250.597
11/05/2023 16:08,5.232.114
11/05/2023 16:08,5.306.021
11/05/2023 16:08,5.379.867
11/05/2023 16:08,5.356.797
11/05/2023 16:08,5.353.720
11/05/2023 16:08,5.402.932
11/05/2023 16:08,5.396.782
11/05/2023 16:08,5.327.566
11/05/2023 16:08,5.359.873
11/05/2023 16:08,5.404.469
11/05/2023 16:08,5.369.102
11/05/2023 16:08,5.409.081
11/05/2023 16:08,5.467.483
11/05/2023 16:08,5.407.544
11/05/2023 16:08,5.349.105
11/05/2023 16:08,5.347.567
11/05/2023 16:08,5.324.488
11/05/2023 16:08,5.332.182
11/05/2023 16:08,5.353.720
11/05/2023 16:08,5.373.716
11/05/2023 16:08,5.433.676
11/05/2023 16:08,5.430.602
11/05/2023 16:08,5.324.488
11/05/2023 16:08,5.236.735
11/05/2023 16:08,5.307.560
11/05/2023 16:08,5.392.169
11/05/2023 16:08,5.425.991
11/05/2023 16:08,5.433.676
11/05/2023 16:08,5.353.720
11/05/2023 16:08,5.264.456
11/05/2023 16:08,5.324.488
